key	text	tooltip
#Loc;1;text/db/idrinth__.loc		
agent_culture_details_description_text_99999990	Vampirlere dönüştürülmüş Yüksek Elfler.	false
agent_culture_details_onscreen_name_99999990	Idrinth Thalui	false
agent_culture_details_description_text_99999991	Vampirlere dönüştürülmüş Yüksek Elfler.	false
agent_culture_details_onscreen_name_99999991	Idrinth Thalui	false
agent_subtypes_description_text_override_idrinth_hev_high_elf_vampires_idrinthchampion	Idrinth Thalui kendi iradesi dışında dönüştürüldü ve yeni kazandığı güçleri kaos hizmetkarlarını avlamak için kullanıyor.	false
agent_subtypes_description_text_override_idrinth_hev_high_elf_vampires_idrinthgeneral	Idrinth Thalui kendi iradesi dışında dönüştürüldü ve yeni kazandığı güçleri kaos hizmetkarlarını avlamak için kullanıyor.	false
ancillaries_colour_text_idrinth_anc_talisman_stone_of_dried_blood	Kan Elli Tanrı Khaine tarafından kutsanmış bir tılsım. Çok azı onun adına böyle bir aracı kullanacak kadar lütuf kazandı. Kurumuş kan kadim güçle titreşiyor, taşıyıcısına şiddet vaatleri fısıldıyor.	false
ancillaries_explanation_text_idrinth_anc_talisman_stone_of_dried_blood	Kanıtlanmış savaş deneyimi.	false
ancillaries_onscreen_name_idrinth_anc_talisman_stone_of_dried_blood	Kurumuş Kan Tılsımı	false
ancillaries_colour_text_idrinth_anc_talisman_talisman_of_souls	Önceki nesillerin bilgisini canlı tutmak için Asuryan tarafından kutsanmış bir tılsım. Sessizken, perdenin ötesinden bilgelik sunan kadim elf bilgelerinin fısıltılarını duyabilirsiniz.	false
ancillaries_explanation_text_idrinth_anc_talisman_talisman_of_souls	Kanıtlanmış savaş deneyimi.	false
ancillaries_onscreen_name_idrinth_anc_talisman_talisman_of_souls	Ruhlar Tılsımı	false
ancillaries_colour_text_idrinth_anc_talisman_forest_berry_wine	Kurnous tarafından kutsanmış bir çeşit tılsım, sahibine dünyanın en iyi böğürtlen şarabını veriyor. Bir yudum içen kişiyi vahşi doğaya bağlar, sanki ormanın kendisi her hareketi yönlendiriyormuş gibi duyuları keskinleştirir ve refleksleri hızlandırır.	false
ancillaries_explanation_text_idrinth_anc_talisman_forest_berry_wine	Kanıtlanmış savaş deneyimi.	false
ancillaries_onscreen_name_idrinth_anc_talisman_forest_berry_wine	Orman Böğürtlen Şarabı	false
ancillaries_colour_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	Kurnous tarafından kutsanmış, kullanıcısını dünyanın en önde gelen avcılarından biri yapan bir silah. Oklarıyla işaretlenenler, sadece bir okçu tarafından değil, doğanın kendisi tarafından avlanıyormuş gibi ilkel bir korku hisseder.	false
ancillaries_explanation_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	Kanıtlanmış savaş deneyimi.	false
ancillaries_onscreen_name_idrinth_anc_weapon_kurnous_blessed_hunting_bow	Kutsal Av Yayı	false
ancillaries_colour_text_idrinth_anc_armour_khaines_visage	Bu miğfer, terör, kan hırsı ve saf şiddet arzusunun bir karışımı olan bir yüz maskesi ortaya çıkarır. Bu görünüm taşıyıcısını dönüştürür, düşmanların uzaktan hissedebileceği ilkel bir öfke uyandırır.	false
ancillaries_explanation_text_idrinth_anc_armour_khaines_visage	Kanıtlanmış savaş deneyimi.	false
ancillaries_onscreen_name_idrinth_anc_armour_khaines_visage	Khaine'in Görünümü	false
ancillaries_colour_text_idrinth_anc_weapon_khaines_thirsting_sword	Efendisi kadar kan için susayan bir kılıç. Her vuruşla daha fazlasını ister, aldığı her canla güçlenir. Kılıcın ağzı taze kanla ıslandığında asla körelmez.	false
ancillaries_explanation_text_idrinth_anc_weapon_khaines_thirsting_sword	Kanıtlanmış savaş deneyimi.	false
ancillaries_onscreen_name_idrinth_anc_weapon_khaines_thirsting_sword	Khaine'in Susayan Kılıcı	false
